No,Nama Pembangkit,Jenis,Jenis Bahan Bakar,Pemilik,"Kapasitas Terpasang MW",Daya Mampu MW
1,Jelok,PLTA,Air,Indonesia Power,"20,5","20,4"
2,Tim o,PLTA,Air,Indonesia Power,"12,0","11,9"
3,Ketenger,PLTA,Air,Indonesia Power,"8,0","8,5"
4,Gerung,PLTA,Air,Indonesia Power,"26,4","26,4"
5,Wonogiri,PLTA,Air,Indonesia Power,"12,4","12,4"
6,Sem por,PLTA,Air,Indonesia Power,"1,0","1,0"
7,Mrica,PLTA,Air,Indonesia Power,"180,9","157,9"
8,Wadas Lintang,PLTA,Air,Indonesia Power,"18,0","18,0"
9,Kedung Om bo,PLTA,Air,Indonesia Power,"22,5","22,3"
10,Lam bu,PLTA,Air,Indonesia Power,"1,2","1,2"
11,Pengkol,PLTA,Air,Indonesia Power,"1,4","1,4"
12,Selorejo,PLTA,Air,Indonesia Power,"1,4","1,4"
13,Tam bak Lorok 1-2,PLTU,BBM,Indonesia Power,"100,0","56,0"
14,Tam bak Lorok 3,PLTU,BBM,Indonesia Power,"200,0","155,0"
15,Tam bak Lorok Blok 1,PLTGU,BBM,Indonesia Power,"517,0","508,3"
16,Tam bak Lorok Blok 2,PLTGU,BBM,Indonesia Power,"517,0","508,3"
17,Cilacap,PLTG,BBM,Indonesia Power,"55,0","40,0"
18,Dieng,PLTP,Panas Bumi,Swasta,"60,0","45,0"
19,Cilacap 1-2,PLTU,Batubara,Swasta,"600,0","562,0"
20,Tanjung Jati B 1-2,PLTU,Batubara,PLN,"1.320,0","1.321,6"
21,Tanjung Jati B 3-4,PLTU,Batubara,PLN,"1.320,0","1.322,2"
22,Rem bang,PLTU,Batubara,PLN,"630,0","560,0"
